Year,Lebron PTS,Jordan PTS,Lebron RBS,Jordan RBS,Lebron AST,Jordan AST,Lebron FGPCT,Jordan FGPCT,Lebron TPPCT,Jordan TPPCT,Lebron TM,Jordan TM,Lebron FGA,Jordan FGA,Lebron GP,Jordan GP,Lebron Championships,Jordan Championships,Lebron MVPs,Jordan MVPs,Lebron FinalsMVP,Jordan FinalsMVP
1,20.9,28.2,5.5,6.5,5.9,5.9,0.417,0.515,0.29,0.173,CLE,CHI,18.9,19.8,79,82,,,,,,
2,27.2,22.7,7.4,3.6,7.2,2.9,0.472,0.457,0.351,0.167,CLE,CHI,21.1,18.2,80,18,,,,,,
3,31.4,37.1,7,5.2,6.6,4.6,0.48,0.482,0.335,0.182,CLE,CHI,23.1,27.8,79,82,,,,,,
4,27.3,35,6.7,5.5,6,5.9,0.476,0.535,0.319,0.132,CLE,CHI,20.8,24.4,78,82,,,,1,,
5,30,32.5,7.9,8,7.2,8,0.484,0.538,0.315,0.276,CLE,CHI,21.9,22.2,75,81,,,,,,
6,28.4,33.6,7.6,6.9,7.2,6.3,0.489,0.526,0.344,0.376,CLE,CHI,19.9,24,81,82,,,1,,,
7,29.7,31.5,7.3,6,8.6,5.5,0.503,0.539,0.333,0.312,CLE,CHI,20.1,22.4,76,82,,1,1,1,,1
8,26.7,30.1,7.5,6.4,7,6.1,0.51,0.519,0.33,0.27,MIA,CHI,18.8,22.7,79,80,,1,,,,1
9,27.1,32.6,7.9,6.7,6.2,5.5,0.531,0.495,0.362,0.352,MIA,CHI,18.9,25.7,62,78,1,1,1,1,1,1
10,26.8,26.9,8,6.9,7.3,5.3,0.565,0.411,0.406,0.5,MIA,CHI,17.8,23.8,76,17,1,,1,,1,
11,27.1,30.4,6.9,6.6,6.3,4.3,0.567,0.495,0.379,0.427,MIA,CHI,17.6,22.6,77,82,,1,,,,1
12,25.3,29.6,6,5.9,7.4,4.3,0.488,0.486,0.354,0.374,CLE,CHI,18.5,23.1,69,82,1,1,,1,,1
13,25.3,28.7,7.4,5.8,6.8,3.5,0.52,0.465,0.309,0.238,CLE,CHI,18.6,23.1,76,82,,1,,1,1,1
14,26.4,22.9,8.6,5.7,8.7,5.2,0.548,0.416,0.363,0.189,CLE,WAS,18.2,22.1,74,60,,,,,,
15,27.5,20,8.6,6.1,9.1,3.8,0.542,0.445,0.367,0.291,CLE,WAS,19.3,18.6,82,82,,,,,,
16,27.4,,8.5,,8.3,,0.51,,0.339,,LAL,,19.9,,55,,,,,,,
17,25.3,,7.8,,10.2,,0.493,,0.348,,LAL,,19.4,,67,,1,,,,1,
18,25,,7.7,,7.8,,0.513,,0.365,,LAL,,18.3,,45,,,,,,,
19,30.3,,8.2,,6.2,,0.524,,0.359,,LAL,,21.8,,56,,,,,,,
20,28.9,,8.3,,6.8,,0.5,,0.321,,LAL,,22.2,,55,,,,,,,
21,25.7,,7.3,,8.3,,0.54,,0.41,,LAL,,17.9,,71,,,,,,,
